# Call transcript — started 2026-07-20T18:04:03.662243
# Call ID: 12e04efe

[18:04:13] USER: I am fine. I want to order some food.
[18:04:15] BOT: What
[18:04:15] BOT: would
[18:04:15] BOT: you
[18:04:15] BOT: like
[18:04:15] BOT: to
[18:04:15] BOT: order
[18:04:15] BOT: today?
[18:04:15] BOT: We
[18:04:15] BOT: have
[18:04:15] BOT: Zinger
[18:04:15] BOT: Burger,
[18:04:15] BOT: Chicken
[18:04:15] BOT: Burger,
[18:04:15] BOT: Large
[18:04:15] BOT: Pizza,
[18:04:15] BOT: Medium
[18:04:15] BOT: Pizza,
[18:04:15] BOT: Fries,
[18:04:15] BOT: Broast,
[18:04:15] BOT: and
[18:04:15] BOT: Cold
[18:04:15] BOT: Drinks.
[18:04:16] BOT: Which
[18:04:16] BOT: one
[18:04:16] BOT: of
[18:04:16] BOT: these
[18:04:16] BOT: items
[18:04:16] BOT: would
[18:04:16] BOT: you
[18:04:16] BOT: like
[18:04:16] BOT: to
[18:04:16] BOT: order?
[18:04:34] USER: So my already one one single burger with price and one cauldering small.
[18:04:35] BOT: So
[18:04:35] BOT: you
[18:04:35] BOT: would
[18:04:35] BOT: like
[18:04:35] BOT: to
[18:04:35] BOT: order
[18:04:35] BOT: 1
[18:04:35] BOT: Chicken
[18:04:35] BOT: Burger
[18:04:35] BOT: and
[18:04:35] BOT: 1
[18:04:35] BOT: Cold
[18:04:35] BOT: Drink
[18:04:35] BOT: Small.
[18:04:35] BOT: The
[18:04:35] BOT: price
[18:04:35] BOT: of
[18:04:35] BOT: the
[18:04:35] BOT: Chicken
[18:04:35] BOT: Burger
[18:04:35] BOT: is
[18:04:35] BOT: six
[18:04:35] BOT: hundred
[18:04:35] BOT: fifty
[18:04:35] BOT: rupees
[18:04:35] BOT: and
[18:04:35] BOT: the
[18:04:35] BOT: price
[18:04:35] BOT: of
[18:04:35] BOT: the
[18:04:35] BOT: Cold
[18:04:35] BOT: Drink
[18:04:35] BOT: Small
[18:04:35] BOT: is
[18:04:35] BOT: one
[18:04:35] BOT: hundred
[18:04:35] BOT: twenty
[18:04:35] BOT: rupees.
[18:04:36] BOT: Can
[18:04:36] BOT: you
[18:04:36] BOT: please
[18:04:36] BOT: tell
[18:04:36] BOT: me
[18:04:36] BOT: if
[18:04:36] BOT: you
[18:04:36] BOT: would
[18:04:36] BOT: like
[18:04:36] BOT: to
[18:04:36] BOT: have
[18:04:36] BOT: it
[18:04:36] BOT: delivered
[18:04:36] BOT: or
[18:04:36] BOT: takeaway?
[18:04:55] USER: I want little reason.
[18:04:56] BOT: I
[18:04:56] BOT: didn't
[18:04:56] BOT: quite
[18:04:56] BOT: understand
[18:04:56] BOT: that.
[18:04:57] BOT: Could
[18:04:57] BOT: you
[18:04:57] BOT: please
[18:04:57] BOT: repeat
[18:04:57] BOT: or
[18:04:57] BOT: tell
[18:04:57] BOT: me
[18:04:57] BOT: more
[18:04:57] BOT: about
[18:04:57] BOT: what
[18:04:57] BOT: you
[18:04:57] BOT: meant
[18:04:57] BOT: by
[18:04:57] BOT: "little
[18:04:57] BOT: reason"?
[18:04:57] BOT: Are
[18:04:57] BOT: you
[18:04:57] BOT: looking
[18:04:57] BOT: for
[18:04:57] BOT: a
[18:04:57] BOT: reason
[18:04:57] BOT: to
[18:04:57] BOT: order
[18:04:57] BOT: something
[18:04:57] BOT: else
[18:04:57] BOT: or
[18:04:57] BOT: is
[18:04:57] BOT: there
[18:04:57] BOT: something
[18:04:57] BOT: else
[18:04:57] BOT: I
[18:04:57] BOT: can
[18:04:57] BOT: help
[18:04:57] BOT: you
[18:04:57] BOT: with?
[18:05:10] USER: None.
[18:05:14] USER: No, no, nothing, but I want delivery.
[18:05:15] BOT: You
[18:05:15] BOT: would
[18:05:15] BOT: like
[18:05:15] BOT: to
[18:05:15] BOT: have
[18:05:15] BOT: your
[18:05:15] BOT: order
[18:05:15] BOT: delivered.
[18:05:15] BOT: That's
[18:05:15] BOT: a
[18:05:15] BOT: delivery
[18:05:15] BOT: order.
[18:05:15] BOT: The
[18:05:15] BOT: delivery
[18:05:15] BOT: charge
[18:05:15] BOT: is
[18:05:15] BOT: two
[18:05:15] BOT: hundred
[18:05:15] BOT: rupees.
[18:05:15] BOT: I
[18:05:15] BOT: just
[18:05:15] BOT: need
[18:05:15] BOT: to
[18:05:15] BOT: confirm
[18:05:15] BOT: a
[18:05:15] BOT: few
[18:05:15] BOT: more
[18:05:15] BOT: details.
[18:05:15] BOT: Can
[18:05:15] BOT: you
[18:05:15] BOT: please
[18:05:15] BOT: tell
[18:05:15] BOT: me
[18:05:15] BOT: your
[18:05:15] BOT: delivery
[18:05:15] BOT: address?
[18:05:31] USER: The delivery address is Garden West, Mr. Road.
[18:05:32] BOT: Your
[18:05:32] BOT: delivery
[18:05:32] BOT: address
[18:05:32] BOT: is
[18:05:32] BOT: Garden
[18:05:32] BOT: West,
[18:05:32] BOT: Mister
[18:05:32] BOT: Road.
[18:05:33] BOT: I
[18:05:33] BOT: just
[18:05:33] BOT: need
[18:05:33] BOT: to
[18:05:33] BOT: confirm
[18:05:33] BOT: a
[18:05:33] BOT: few
[18:05:33] BOT: more
[18:05:33] BOT: details.
[18:05:33] BOT: Can
[18:05:33] BOT: you
[18:05:33] BOT: please
[18:05:33] BOT: tell
[18:05:33] BOT: me
[18:05:33] BOT: your
[18:05:33] BOT: phone
[18:05:33] BOT: number?
[18:05:47] USER: The phone number is 03244283400.
[18:05:49] BOT: Your
[18:05:49] BOT: phone
[18:05:49] BOT: number
[18:05:49] BOT: is
[18:05:49] BOT: zero
[18:05:49] BOT: three
[18:05:49] BOT: two
[18:05:49] BOT: four
[18:05:49] BOT: four
[18:05:49] BOT: two
[18:05:49] BOT: eight
[18:05:49] BOT: three
[18:05:49] BOT: four
[18:05:49] BOT: zero
[18:05:49] BOT: zero.
[18:05:49] BOT: I
[18:05:49] BOT: just
[18:05:49] BOT: need
[18:05:49] BOT: to
[18:05:49] BOT: ask
[18:05:49] BOT: a
[18:05:49] BOT: few
[18:05:49] BOT: more
[18:05:49] BOT: questions.
[18:05:49] BOT: How
[18:05:49] BOT: would
[18:05:49] BOT: you
[18:05:49] BOT: like
[18:05:49] BOT: to
[18:05:49] BOT: pay
[18:05:49] BOT: for
[18:05:49] BOT: your
[18:05:49] BOT: order?
[18:05:49] BOT: Would
[18:05:49] BOT: you
[18:05:49] BOT: like
[18:05:49] BOT: to
[18:05:49] BOT: pay
[18:05:49] BOT: cash
[18:05:49] BOT: on
[18:05:49] BOT: delivery
[18:05:49] BOT: or
[18:05:49] BOT: is
[18:05:49] BOT: there
[18:05:49] BOT: another
[18:05:49] BOT: payment
[18:05:49] BOT: method
[18:05:49] BOT: you'd
[18:05:49] BOT: prefer?
[18:06:07] USER: Pay cash on delivery.
[18:06:08] BOT: You
[18:06:08] BOT: would
[18:06:08] BOT: like
[18:06:08] BOT: to
[18:06:08] BOT: pay
[18:06:08] BOT: cash
[18:06:08] BOT: on
[18:06:08] BOT: delivery.
[18:06:08] BOT: That's
[18:06:08] BOT: perfectly
[18:06:08] BOT: fine.
[18:06:08] BOT: Can
[18:06:08] BOT: you
[18:06:08] BOT: please
[18:06:08] BOT: tell
[18:06:08] BOT: me
[18:06:08] BOT: your
[18:06:08] BOT: name
[18:06:08] BOT: so
[18:06:08] BOT: I
[18:06:08] BOT: can
[18:06:08] BOT: complete
[18:06:08] BOT: the
[18:06:08] BOT: order?
[18:06:20] USER: My name is Muhammad Hashir B. Saib.
[18:06:21] BOT: One
[18:06:21] BOT: moment,
[18:06:21] BOT: let
[18:06:21] BOT: me
[18:06:21] BOT: check
[18:06:21] BOT: the
[18:06:21] BOT: records.
[18:06:25] BOT: According
[18:06:25] BOT: to
[18:06:25] BOT: our
[18:06:25] BOT: records,
[18:06:25] BOT: your
[18:06:25] BOT: name
[18:06:25] BOT: is
[18:06:25] BOT: Mohammad
[18:06:25] BOT: Hashir,
[18:06:25] BOT: and
[18:06:25] BOT: you
[18:06:25] BOT: have
[18:06:25] BOT: ordered
[18:06:25] BOT: from
[18:06:25] BOT: us
[18:06:25] BOT: before.
[18:06:25] BOT: Is
[18:06:25] BOT: that
[18:06:25] BOT: correct?
[18:06:35] USER: Yes, yes, yes.
[18:06:37] BOT: I've
[18:06:37] BOT: confirmed
[18:06:37] BOT: your
[18:06:37] BOT: order.
[18:06:37] BOT: To
[18:06:37] BOT: recap,
[18:06:37] BOT: you
[18:06:37] BOT: would
[18:06:37] BOT: like
[18:06:37] BOT: to
[18:06:37] BOT: order
[18:06:37] BOT: 1
[18:06:37] BOT: Chicken
[18:06:37] BOT: Burger
[18:06:37] BOT: and
[18:06:37] BOT: 1
[18:06:37] BOT: Cold
[18:06:37] BOT: Drink
[18:06:37] BOT: Small,
[18:06:37] BOT: to
[18:06:37] BOT: be
[18:06:37] BOT: delivered
[18:06:37] BOT: to
[18:06:37] BOT: Garden
[18:06:37] BOT: West,
[18:06:37] BOT: Mister
[18:06:37] BOT: Road.
[18:06:37] BOT: The
[18:06:37] BOT: total
[18:06:37] BOT: comes
[18:06:37] BOT: out
[18:06:37] BOT: to
[18:06:37] BOT: be
[18:06:37] BOT: nine
[18:06:37] BOT: hundred
[18:06:37] BOT: seventy
[18:06:37] BOT: rupees
[18:06:37] BOT: for
[18:06:37] BOT: the
[18:06:37] BOT: order,
[18:06:37] BOT: plus
[18:06:37] BOT: two
[18:06:37] BOT: hundred
[18:06:37] BOT: rupees
[18:06:37] BOT: for
[18:06:37] BOT: delivery,
[18:06:37] BOT: making
[18:06:37] BOT: it
[18:06:37] BOT: a
[18:06:37] BOT: total
[18:06:37] BOT: of
[18:06:37] BOT: twelve
[18:06:37] BOT: hundred
[18:06:37] BOT: rupees,
[18:06:37] BOT: which
[18:06:37] BOT: you
[18:06:37] BOT: would
[18:06:37] BOT: like
[18:06:37] BOT: to
[18:06:37] BOT: pay
[18:06:37] BOT: cash
[18:06:37] BOT: on
[18:06:37] BOT: delivery.
[18:06:37] BOT: Is
[18:06:37] BOT: that
[18:06:37] BOT: correct?
[18:07:04] BOT: Your
[18:07:04] BOT: order
[18:07:04] BOT: has
[18:07:04] BOT: been
[18:07:04] BOT: confirmed.
[18:07:04] BOT: We
[18:07:04] BOT: will
[18:07:04] BOT: deliver
[18:07:04] BOT: 1
[18:07:04] BOT: Chicken
[18:07:04] BOT: Burger
[18:07:04] BOT: and
[18:07:04] BOT: 1
[18:07:04] BOT: Cold
[18:07:04] BOT: Drink
[18:07:04] BOT: Small
[18:07:04] BOT: to
[18:07:04] BOT: Garden
[18:07:04] BOT: West,
[18:07:04] BOT: Mister
[18:07:04] BOT: Road.
[18:07:04] BOT: The
[18:07:04] BOT: total
[18:07:04] BOT: amount
[18:07:04] BOT: to
[18:07:04] BOT: be
[18:07:04] BOT: paid
[18:07:04] BOT: is
[18:07:04] BOT: twelve
[18:07:04] BOT: hundred
[18:07:04] BOT: rupees,
[18:07:04] BOT: which
[18:07:04] BOT: you
[18:07:04] BOT: will
[18:07:04] BOT: pay
[18:07:04] BOT: cash
[18:07:04] BOT: on
[18:07:04] BOT: delivery.
[18:07:05] BOT: Thank
[18:07:05] BOT: you
[18:07:05] BOT: for
[18:07:05] BOT: ordering
[18:07:05] BOT: with
[18:07:05] BOT: us!
[18:07:05] BOT: <function=end_call></function>
[18:07:23] USER: Allah habis.
[18:07:25] BOT: Khuda
[18:07:25] BOT: Hafiz!
